기준년도,기준월,행정동_코드,행정동_코드_명,소득_총금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
2018,10,11410615,연희동,3534271,7,14770138000,372305333,30916000,36717000,13284067667,168511667,67782667,45353667,112095667,69402333,582986000
2018,10,11410555,북아현동,4335303,8,633393000,230989333,17983667,75232667,70462333,4847000,35128333,9393667,29439000,41837333,118079667
2018,10,11350720,상계10동,3269791,7,240825333,41288667,8544667,9303333,41865667,1028333,26541667,2955667,50394000,18280000,40623333
2018,10,11710631,가락1동,4162073,8,849525333,569488333,22000,50738667,24809000,343333,7736000,14851333,3255667,33862000,144419000
2018,10,11710620,가락본동,3742727,8,2612174000,321112333,93959333,26195000,592644333,30136000,39695000,253485333,269328333,125429667,860188667
2018,10,11710610,삼전동,2919496,6,1914227667,481847667,24056333,190774000,160489000,91968333,149445333,60771667,154129000,107506667,493239667
2018,10,11710550,마천2동,2411790,5,971772333,353150000,48619000,21818000,162583333,39216333,32759667,28568000,62355000,25331667,197371333
2018,10,11290705,종암동,3540527,7,1548329667,501936333,21340333,27141333,175064333,50514667,121386667,39121000,115477333,45519000,450828667
2018,10,11290600,안암동,3030508,7,1636855333,350374000,13085667,15901000,116589333,7888000,23432000,76226667,136100667,50192333,847065667
2018,10,11290555,삼선동,3195932,7,1591776000,489079000,31443667,88074333,203779000,15701333,115975000,53571333,97886333,44005667,452260333
2018,10,11260620,묵1동,3245267,7,1112725000,183702667,39602667,69779000,170017667,8158667,52286667,82173667,68541000,64995000,373468000
2018,10,11260600,중화1동,2655417,6,417007667,171914667,5049000,7567667,63411667,14699333,40744667,2013333,10613667,25547000,75446667
2018,10,11260565,면목본동,2408139,5,1004467667,254357667,29932000,12421000,122998667,3596000,21187000,72491000,76697000,48021000,362766333
2018,10,11230740,이문1동,2871724,6,904830333,168495333,13277333,10645667,106094667,55347333,11846667,56459667,94647667,24422333,363593667
2018,10,11230570,전농2동,3275102,7,508802667,89334667,15948667,6067333,149887667,1023333,35261000,20998333,44878333,12734667,132668667
2018,10,11215860,구의2동,2819976,6,1327555000,354349000,32127333,10680667,67725667,14807333,50868667,31710000,405012667,57813000,302460667
2018,10,11215830,자양2동,3123453,7,828164000,228486333,11447667,9654667,100640333,29444333,58621000,50393333,51148000,29667333,258661000
2018,10,11215820,자양1동,2810489,6,1314656333,378216000,73979667,11386667,219122667,37942333,63850000,45410667,70155000,54192000,360401333
2018,10,11215710,화양동,2600804,6,5545199333,465786000,360450000,28208667,636408667,8408000,100493333,894373333,410461667,221662667,2418947000
2018,10,11200670,성수2가1동,3060650,7,1412186667,421893667,119102667,73714333,111419667,87356333,26220667,45398667,105434667,56289333,365356667
2018,10,11200650,성수1가1동,4024527,8,604633667,160131333,14829333,13344000,47904667,24712333,45742000,24257667,50051667,60334667,163326000
2018,10,11200645,옥수동,4971846,9,916204333,329592000,17119000,3033333,73510667,14995000,87719667,9810667,70926333,68708000,240789667
2018,10,11170520,용산2가동,2615507,6,31779990667,31452821333,8444667,2225000,7642667,2222333,8835000,23771333,23807000,4388000,245833333
2018,10,11140670,황학동,3324339,7,879950333,218216667,26082333,93652333,143987333,10685667,13568000,24463667,59979667,34429000,254885667
2018,10,11140625,다산동,2760701,6,930212667,168951333,16181667,4270667,169276000,5348000,25535000,58013000,59417000,69040667,354179333
2018,10,11140615,신당동,2865975,6,1440181667,228471667,212417667,22048667,171550667,37970667,31469667,56679000,87090333,53021333,539462000
2018,10,11110710,숭인2동,2681842,6,514318667,130701667,40021000,13080667,33665667,2145333,7060000,26056667,39077667,19640333,202869667
2018,10,11110630,종로5?6가동,2551848,6,2313755333,150222000,160963000,54506333,657865000,11529000,68720667,90224000,309298333,23864667,786562333
2018,10,11740560,고덕2동,2491396,6,199206000,48784667,1382667,10540667,31996333,13842000,9938667,11125667,5136000,3323333,63136000
2018,10,11710642,문정2동,4902348,9,7170211000,1480497333,1612436667,621504000,852384333,250293333,101586333,90051667,317820667,704576333,1139060333
